id,chord_progression,release_date,genre,chord_length
8408,<intro_1> Fmin Fsus2 Fmin Dbmin Fmin Abmin Fmin Dbmin Fmin Abmin Fmin Cmin Bbmin Fmin Eb Absus4 Ab Csus4 C Fmin F Dbmaj7 Dmin7 Bbminadd13 F Dbmaj7 Dmin7 Bbmin <intro_2> Fmin Cmin Bbmin Fmin Eb Ab Edim Fmin Ab Ddim Fdim C Fmin Dbmin Fmin Dbmin <verse_1> Fmin Dbmin Fmin Abminmaj7 Eb Abdim Cmin D Bdim7 A Csmin Dadd9 A Csmin Emin9 Bb Dmin Bb Dmin Gbmin <verse_2> Fmin Dbmin Fmin Abmin Eb Fdim7 Eb Fdim7 Bdim Eb Fdim7 Cmin D Bdim7 A Csmin Dadd9 A Csmin C C Emin9 B Dmin Db Bb Db <bridge_1> E A E B E A Emin B G Bmin Bb D Fsmin Aminadd9 Emin Dadd9 Fmaj7 A <intro_3> Asus2 Dmin7 Asus2 Dminadd13 <verse_3> Asus2 Dmin7 Asus2 Dminadd13 Asus2 Dmin7 Fsmin D Asus2 A D Fmaj7 <chorus_1> Asus2 Dmin7 Fsmin11 Dminadd13 Asus2 Dmin7 Fsmin11 Dmin <interlude_1> Asus2 Dmin7 Asus2 Dminadd13 <verse_4> Asus2 Dmin7 Asus2 Dminadd13 Asus2 Dmin7 Fsmin D Asus2 A F G <chorus_2> Asus2 Dmin Fsmin Dminadd13 Asus2 Dmin7 Fsmin Dminadd13 E Bmin E Bmin E Bmin E Bmin E Bmin E Bmin E Bmin E Bmin Csmin C Csmin Amin E Bmin E Bmin E Bmin E Bmin Csmin C Csmin Amin Csmin C Csmin Amin E G D F E Csmin C Bmin Gb A E Ds D Db E Bmin <interlude_2> Fmin Gmin7 Fmin Bbmin Fmin Gmin7 Fmin Bbmin <verse_5> Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Eb Fmin Gmin7 Fmin Bbmin Fmin Gmin7 Bb7 Edim Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Bbmin7 Eb Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Bbmin Gdim Bbmin7 Gdim <chorus_3> Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Csus4 C <interlude_3> Fmin Gmin7 Fmin Bbmin Fmin Gmin7 Db Bbminadd13 Fmin Gmin7 Fmin Bbmin Fmin7 Gmin7 Db Gdim <verse_6> Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Db Bbminadd13 Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Bbmin Cmin Db Eb Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Db Bbdim Fmin Gmin7 Fmin Bbmin Fmin7 Bbmin Bbmin Cmin Db Eb <chorus_4> Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Fsus2 C Bbmin Fmin7 Bbmin Eb Fmin Fsus2 Bbminadd13 Csus4 C Fmin Abdim Bdim Ddim Fmin Abdim Bdim Ddim Fmin Abdim Bdim Ddim Fdim Abdim Bdim G Gb A Ab G Gb A Ab Fmin Abdim Bdim Ddim Fmin Abdim Bdim Ddim Fmin Abdim Bdim Ddim Fdim Abdim Bdim G Gb A Ab G Gb A Ab <interlude_4> Fno3d Ebdim7 Bbmin Ebminadd13 Fno3d Ebdim7 Bbmin Ebminadd13 Fdim Fdim Abdim Abdim Bdim Bdim Ddim Ddim Fdim Fdim Abdim Abdim Bdim G Daug A Eaug G Daug A G Eb G Ab/ F Db Eb/ Fminmaj7 G Eb G Ab/ Ab Ab/ G Eb G Ab/ F Db Eb/ Fminmaj7 G Eb G Ab/ Ab Ab Fmin Bbmin Eb Db Fmin Bbmin Eb Db Fmin Bbmin Eb Db Fmin Bbmin E Bmin7 E Bmin7 E D <outro_1> Fdim Gdim <intro_4> Fno3d <verse_7> Fmin Bbmin Gdim7 Fno3d Ebdim7 Bbmin Bbsus4 Fno3d Fmin Bbmin Gdim7 Fno3d Ebdim7 Bbmin Bbsus4 Fno3d <verse_8> F Bbmin Gdim F Cdim7 Bbmin Ebmin Fno3d F Bbmin Ebmin7 Fno3d F Ebmin Bbmin Ebmin7 Fno3d <intro_5> Cmin Bbmin Fsus2 Fmin Eb Ab Edim Fmin Fmin Ddim7 Fdim7 Abdim C <verse_9> Dmin Cdim7 Fdim7 Bminadd13 Bbmin Csus4 C Dmin Cdim7 Fdim7 Bminadd13 Bbmin Csus4 C Fmin Dbmin Fmin Abmin Eb Fdim7 Eb Abminadd13 Eb Abminadd13 Cmin D Bdim A Csmin D A Csmin Emin Bb Dmin Db Bb Db Bno3d G <outro_3> F Dbmaj7 Dmin Bbmin F,2005-06-06,metal,615
10395,<intro_1> G D G C G D C D G D G C G D C D G D G C G D C D <verse_1> G D G C G D C D G D G C G D C D <chorus_1> G D G C G D G D <interlude_1> G D G C G D C D G D G C G D C D <verse_2> G D G C G D C D G D G C G D C D <chorus_2> G D G C G D G D <interlude_2> G D G C G D C D G D G C G D G C G C G C G D G <interlude_3> D G C G D C D G D G C G D C D G D G C G D C D G D G C G D C D G D G C G D C D G D G C G D G C G C G C G D G,1998-01-01,jazz,173
10658,<intro_1> Amin F C D Amin F C D Amin F C D Amin F C D <verse_1> Amin F C D Amin F C D Amin F C D Amin F C D Amin F C D Amin F C D Amin F C D Amin F C D <chorus_1> Amin F C G Amin F C G Amin F C G Amin F C G <verse_2> Amin F C D Amin F C D Amin F C D Amin F C D <chorus_2> Amin F C G Amin F C G Amin F C G Amin F C G <solo_1> Amin C D Emin Amin C D Emin Amin C D F Emin Amin F C D Amin F C D Amin F C D Amin F C D <verse_3> Amin F C D Amin F C D Amin F C D Amin F C D <chorus_3> Amin F C G Amin F C G Amin F C G Amin <solo_2> C D Emin Amin C D Emin Amin C D F Emin Amin,2020-10-09,jazz,176
11126,<intro_1> Bmin D Fsmin E Bmin D Fsmin E <verse_1> Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E <chorus_1> Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E <verse_2> Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E <chorus_2> Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E Bmin D Fsmin E <chorus_3> D G Fsmin D Bmin D A Fsmin D G Fsmin D Bmin D A Fsmin <instrumental_1> D Bmin E Fsmin D Bmin E Fsmin D Bmin E <verse_3> Fsmin D Bmin E Fsmin D Bmin E Fsmin D Bmin E <chorus_4> Fsmin D Bmin E <verse_4> Fsmin D Bmin E Fsmin D Bmin E Fsmin D Bmin E <chorus_5> Fsmin D Bmin E <verse_5> Fsmin D Bmin E Fsmin D Bmin E Fsmin D Bmin E <chorus_6> Fsmin D Bmin E Fsmin D <outro_1> Bmin E Fsmin D Bmin E Fsmin D <outro_2> Fsmin D Bmin E Fsmin D Bmin E Fsmin D Bmin Asus4,2018-08-10,alternative,192
14630,<intro_1> Emin C G D Emin C G D Emin C G D Emin C G D <verse_1> Emin C G D Emin C G D Emin C G D Emin C G D <verse_2> Emin C G D Emin C G D Emin C G D Emin C G D <interlude_1> Emin C G D Emin C G D Emin C G D Emin C G D <verse_3> Emin C G D Emin C G D Emin C G D Emin C G D <bridge_1> Emin C G D Emin C G D Emin C G D Emin C G D <verse_4> Emin C G D Emin C G D Emin C G D Emin C G D <interlude_2> Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D Emin C G D <verse_5> Emin C G D Emin C G D Emin C G D Emin C G D <interlude_3> Emin C G D Emin C G D <verse_6> Emin C G D Emin C G D Emin C G D Emin C G D <bridge_2> Emin C G D Emin C G D Emin C G D Emin C G D <verse_7> Emin C G D Emin C G D Emin C G D Emin C G D <outro_1> Emin C G D Emin C G D Emin C G D Emin C G D,2016-03-25,pop,246
16854,<verse_1> G C G D G C G D G C G D G C D C G Emin <chorus_1> C G C D G C G C D G <verse_2> C G D G C G D G C G D G C D C G Emin <chorus_2> C G C D G C G C D G <verse_3> C G D G C G D G C G D G C D C G Emin <chorus_3> C G C D G C G C D G <verse_4> C G D G C G D G C G D G C D C G Emin <chorus_4> C G C D G C G C D G <verse_5> C G D G C G D G C G D G C D C G Emin <chorus_5> C G C D G C G C D G <verse_6> C G D G C G D G C G D G C D C G Emin <chorus_6> C G C D G C G C D G <verse_7> C G D G C G D G C G D G C D C G Emin <chorus_7> C G C D G C G C D G,2004-10-18,pop_rock,204
17352,<intro_1> Amin G F C Amin G F C <verse_1> Amin G F C Amin G F C Amin G F C Dmin7 G C <chorus_1> F C G F Amin G F C G <instrumental_1> Amin G F C <verse_2> Amin G F C Amin G F C Amin G F C Dmin7 G C <chorus_2> F C G F Amin G F C G <instrumental_2> F Dmin F Amin G <bridge_1> Dmin F Amin G Dmin F Amin G <chorus_3> F C G F Amin G F C G <bridge_2> Dmin F Amin G Dmin F Amin G <interlude_1> Amin G F C Amin G F C Amin G F C Amin G F C G F Amin G F C G F,2022-04-15,electronic,125
19707,<intro_1> Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G Amin Amin Amin Amin G <verse_1> Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G Amin Amin Amin Amin G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G <chorus_1> Amin G Bb Dmin Amin G Bb Dmin <interlude_1> Amin Amin Amin Amin G <verse_2> Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G Amin Amin Amin Amin G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 Amin Amin Amin Amin G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G <chorus_2> Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin <bridge_1> C Dbdim7 Bbdim7 Gmin F D Dmin C Dbdim7 Bbdim7 Gmin F D Bb C <interlude_2> Amin <verse_3> C G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G Amin Amin Amin Amin G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G Amin Amin Amin Amin G Amin Amin Amin Amin G Amin Amin Amin Amin G Ebmaj7 Dmin7 G <chorus_3> Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin Amin7 G7 Bbmaj7 Dmin Amin,2012-03-23,alternative,220
20453,<intro_1> Esus4 Emin Esus4 Emin Esus4 Emin Esus4 Emin <verse_1> Esus4 Emin Esus4 Emin Esus4 Emin Esus4 Emin Amin Asus2 Amin Asus2 Amin Asus2 Amin Esus4 E A E A E A E <verse_2> Esus4 Emin Esus4 Emin Esus4 Emin Esus4 Emin Amin Asus2 Amin Asus2 Amin Asus2 Amin Esus4 E A E A E A E Esus4 E A E A E A E E Esus4 E Csmin7 Amaj7 Bsus4 B <chorus_1> E E Esus4 E Csmin7 Amaj7 Bsus4 B E E Bsus4 E Csmin7 Amaj7 Bsus4 B G G Gsus4 G Emin7 Cmaj7 Dsus4 D Bb Bb Bbsus4 Bb Gmin7 Ebmaj7 Fsus4 F <bridge_1> Bb G F Bb Eb Bb G F Bb Eb Bbmaj9 Bbmaj9 C7 C7sus4 C7 C7sus4 C7 C7sus4 C7 C7sus4 C7 C7sus4 C7 C7sus4 C7 Bb G F Bb Eb Bb G F Bb Eb C F D <chorus_2> Fs Fs Fsus4 Fs Dsmin7 Bmaj7 Cssus4 Cs Fs Fs Fsus4 Fs Dsmin7 Bmaj7 Cssus4 Cs A A Asus4 A Fsmin7 Dmaj9 Esus4 E <bridge_2> Cadd9 Fmaj7 G Fmaj7 G Fmaj7 Gmin Fmaj7 Gmin Cminmaj7 Cminadd13 G Cminmaj7 Cminadd13 G D D7 Emin D D7 Emin D G Emin Eno3d Emin Emin7 Eno3d Dno3d Eno3d Dno3d Eno3d Dno3d Bbno3d Gno3d Eno3d Emin Dadd9 Cmaj9 Bb G F Bb Eb Bb G F Bb Eb C F D <chorus_3> Bb Bb Bbsus4 Bb Gmin7 Ebmaj7 Fsus4 F Bb Bb Bbsus4 Bb Gmin7 Ebmaj7 Fsus4 F C <bridge_3> F G C C F G C C F G C C F G C Bb Bb F Gmin F Csus4 C F Bdim C Emin7 Dmin7 Gsus4 <chorus_4> Ab Ab Absus4 Ab Fmin7 Dbmaj7 Ebsus4 Ab Ab Absus4 Ab Fmin7 Dbmaj7 Ebsus4 B B Bsus4 B Gsmin7 Emaj7 Fssus4 Fs B B Bsus4 B Gsmin7 Emaj7 Fssus4 Fs D D Dsus4 D Bmin7 Gmaj7 Asus4 A D D Dsus4 D Bmin7 Gmaj7 Asus4 A <chorus_5> A Asus4 A Fsmin7 Dmaj7 Esus4 A A Asus4 A Fsmin7 Dmaj7 Esus4 <outro_1> C C F G C C F G C C F G C C F G C C F G C C F G C C F Eb C F G C C,1994,rock,364
20478,<intro_1> D A Bmin G A Bmin G A D A Bmin G D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G A Fsmin G A D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G A Fsmin G A <verse_1> D Bmin G D Bmin G <chorus_1> D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G Fsmin G A D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G Fsmin G A <verse_2> D <instrumental_1> Bmin G D Emin D Fsmin Emin D A <bridge_1> Bmin G D Emin D Fsmin Emin D A <instrumental_2> D A Bmin G A Bmin G A D A Bmin G D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G A Fsmin G A D A Bmin G A Bmin G A D A Bmin G A D A Bmin G A Bmin G Fsmin G A D,2010-04-12,punk,198
