partType1,partType2,partType3,frequency
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Intro,7
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,7
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,7
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,7
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,7
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,7
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,7
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,7
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,7
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,7
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,7
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,6
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,6
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,6
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,6
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,6
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,6
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,6
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,5
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,5
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Solo,5
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,5
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,5
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,5
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Intro,5
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,5
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,5
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,5
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,5
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,5
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,4
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,4
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,4
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,4
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,4
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,4
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,4
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,4
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,4
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,4
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,4
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Intro,3
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,3
http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Verse,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Verse,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,3
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,3
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Outro,3
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,3
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,3
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,3
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,3
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,3
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,3
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,3
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,3
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Outro,3
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,3
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,3
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Intro,2
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Verse,2
http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Chorus,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Outro,2
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,2
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,2
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,2
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Outro,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,2
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,2
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Intro,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,2
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,2
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Instrumental,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,2
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,2
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,2
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Interlude,2
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,2
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,2
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,2
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,2
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,2
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Interlude,2
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Instrumental,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Verse,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Intro,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Chorus,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Solo,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Intro,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Interlude,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Instrumental,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Outro,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Verse,1
http://purl.org/ontology/mpo/Instrumental,http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,1
http://purl.org/ontology/mpo/Interlude,http://purl.org/ontology/mpo/Bridge,http://purl.org/ontology/mpo/Outro,1
http://purl.org/ontology/mpo/Chorus,http://purl.org/ontology/mpo/Solo,http://purl.org/ontology/mpo/Intro,1
